Roll, Pitch
90.190147, 90.141235
90.167816, 90.320328
90.111740, 90.237381
90.247787, 90.333122
90.145058, 90.361259
90.238266, 90.300140
90.238251, 90.290039
90.238129, 90.273064
90.089577, 90.332840
90.148109, 90.354294
90.180122, 90.272194
90.180420, 90.269188
90.180450, 90.208809
90.238037, 90.330063
90.228455, 90.360802
90.141922, 90.317909
90.157593, 90.373863
90.173981, 90.343246
90.221962, 90.240044
90.228592, 90.290466
90.228951, 90.193634
90.150467, 90.313095
90.228783, 90.294083
90.228851, 90.216980
90.228561, 90.334068
90.192772, 90.281425
90.063148, 90.293144
90.063820, 90.256721
90.215797, 90.254196
90.144936, 90.206848
90.206291, 90.231331
90.280121, 90.311760
90.280647, 90.235535
90.280060, 90.271294
90.280487, 90.309021
90.251259, 90.386971
90.134689, 90.223358
90.189728, 90.348946
90.190170, 90.208473
90.135582, 90.197578
90.228752, 90.183182
90.228661, 90.283836
90.248055, 90.262978
90.124992, 90.368240
90.196381, 90.275040
90.134880, 90.320999
90.135117, 90.264160
90.151283, 90.260178
90.186584, 90.224892
90.186699, 90.191437
90.090134, 90.188988
90.202614, 90.301376
90.183701, 90.295967
90.212898, 90.315132
90.260818, 90.346191
90.177032, 90.487038
90.270248, 90.295021
90.201996, 90.223122
90.189758, 90.379181
90.170990, 90.239693
90.170883, 90.158981
90.157928, 90.203079
90.157021, 90.238892
90.196228, 90.392342
90.115440, 90.220940
 90.115601, 90.395668
90.115616, 90.305099
90.138710, 90.190613
90.138626, 90.358185
90.296471, 90.200600
90.199242, 90.304710
90.138145, 90.290680
90.138054, 90.280510
90.212723, 90.281387
90.212357, 90.361488
90.211716, 90.347397
90.118584, 90.398743
90.119514, 90.282104
90.216034, 90.234406
90.241249, 90.316475
90.315689, 90.310516
90.222656, 90.334961
90.222313, 90.414986
90.222107, 90.220100
90.112679, 90.345711
90.060913, 90.270561
90.141029, 90.239761
90.141548, 90.357819
90.212547, 90.183701
90.193512, 90.289032
